H_matches_played,H_wins,H_draws,H_losses,H_goals_scored,H_goals_conceded,H_goal_diff,H_points,A_matches_played,A_wins,A_draws,A_losses,A_goals_scored,A_goals_conceded,A_goal_diff,A_points,is_neutral,is_competitive
7,1,2,4,0.5714285714285714,1.5714285714285714,-1.0,0.7142857142857143,6,3,1,2,1.1666666666666667,0.6666666666666666,0.5,1.6666666666666667,0,0
8,2,5,1,0.875,0.625,0.25,1.375,6,5,1,0,6.333333333333333,0.3333333333333333,6.0,2.6666666666666665,0,0
8,6,2,0,2.0,0.875,1.125,2.5,8,4,3,1,1.5,1.0,0.5,1.875,0,1
6,2,1,3,1.0,0.8333333333333334,0.16666666666666666,1.1666666666666667,6,3,1,2,2.5,2.6666666666666665,-0.16666666666666666,1.6666666666666667,1,1
8,5,2,1,1.625,0.75,0.875,2.125,9,7,1,1,2.4444444444444446,1.0,1.4444444444444444,2.4444444444444446,1,1
5,1,1,3,0.6,2.0,-1.4,0.8,7,1,2,4,1.4285714285714286,1.2857142857142858,0.14285714285714285,0.7142857142857143,0,1
9,3,0,6,1.8888888888888888,1.8888888888888888,0.0,1.0,7,3,1,3,2.142857142857143,2.5714285714285716,-0.42857142857142855,1.4285714285714286,1,1
10,5,4,1,1.6,1.0,0.6,1.9,10,4,4,2,1.4,0.6,0.8,1.6,0,0
10,5,4,1,3.1,0.5,2.6,1.9,7,3,1,3,1.1428571428571428,0.7142857142857143,0.42857142857142855,1.4285714285714286,1,1
10,8,1,1,2.4,1.0,1.4,2.5,8,6,1,1,1.875,0.75,1.125,2.375,1,1
9,7,2,0,2.4444444444444446,0.8888888888888888,1.5555555555555556,2.5555555555555554,8,6,0,2,1.375,0.625,0.75,2.25,0,1
5,2,0,3,2.2,1.8,0.4,1.2,7,2,2,3,1.4285714285714286,1.2857142857142858,0.14285714285714285,1.1428571428571428,0,1
9,4,4,1,1.8888888888888888,1.1111111111111112,0.7777777777777778,1.7777777777777777,10,6,2,2,2.0,0.8,1.2,2.0,0,0
10,3,1,6,1.5,1.9,-0.4,1.0,7,3,2,2,0.8571428571428571,0.7142857142857143,0.14285714285714285,1.5714285714285714,0,1
5,2,2,1,2.2,2.4,-0.2,1.6,10,3,4,3,1.3,1.4,-0.1,1.3,0,1
7,0,5,2,0.5714285714285714,1.0,-0.42857142857142855,0.7142857142857143,8,4,2,2,1.875,1.625,0.25,1.75,0,1
8,5,1,2,2.25,1.625,0.625,2.0,9,4,2,3,1.7777777777777777,1.4444444444444444,0.3333333333333333,1.5555555555555556,1,0
6,2,2,2,1.3333333333333333,1.3333333333333333,0.0,1.3333333333333333,10,5,1,4,1.6,1.6,0.0,1.6,0,0
8,3,2,3,0.875,0.75,0.125,1.375,5,3,1,1,1.4,0.4,1.0,2.0,0,1
10,8,1,1,2.5,1.1,1.4,2.5,9,6,1,2,1.2222222222222223,0.5555555555555556,0.6666666666666666,2.111111111111111,1,1
9,2,1,6,0.3333333333333333,1.4444444444444444,-1.1111111111111112,0.7777777777777778,10,2,6,2,0.8,0.5,0.3,1.2,0,0
10,2,3,5,0.4,0.9,-0.5,0.9,6,1,2,3,0.6666666666666666,1.1666666666666667,-0.5,0.8333333333333334,0,1
7,6,0,1,3.2857142857142856,0.5714285714285714,2.7142857142857144,2.5714285714285716,10,5,3,2,1.6,0.6,1.0,1.8,0,0
8,0,2,6,0.25,2.0,-1.75,0.25,5,0,2,3,0.4,1.2,-0.8,0.4,0,1
10,4,4,2,1.8,1.1,0.7,1.6,10,4,2,4,2.2,1.6,0.6,1.4,1,0
10,4,3,3,1.5,0.7,0.8,1.5,10,1,7,2,0.5,0.6,-0.1,1.0,0,0
